	Аахен		Аахенъ
 	Нестор		Несторъ	 
 	Несторий		Несторій	 
 	нестроевой		нестроевой	 
 	несть		нѣсть, нѣсть глупости горшія яко глупость	 
 	несу		несу	 
 	несуразен		несуразенъ	 
 	несуразное		несуразное	 
 	несуразный		несуразный, несуразнаго	 
 	несусветный		несусвѣтный	 
 	несусь		несусь	 
 	несут		несутъ	 
 	несутся		несутся	 
 	несушка		несушка	 
 	несущего		несущаго	 
 	несущее		несущее	 
 	несущие		несущіе, несущія	 
 	несущий		несущій, несущаго, несущее	 
 	несущийся		несущійся, несущагося, несущееся	 
 	несходный		несходный	 
 	несчастный		несчастный, несчастіе	 
 	несчастье		несчастіе и несчастье, несчастный	 
 	несчётный		несчётный, несчётнаго	 
 	нёсшийся		нёсшійся	 
 	несъёмный		несъёмный, несъёмнаго	 
 	неся		неся	 
 	несясь		несясь	 
 	нет		нѣтъ	 
 	нетвёрдый		нетвёрдый, нетвёрдаго, нетвёрдое	 
 	нетель		нетель, нетелей	 
 	нетерпение		нетерпѣніе	 
 	нетёсаный		нетёсаный	 
 	нети		нѣти, быть въ нѣтяхъ	 
 	нетленный		нетлѣнный	 
 	нетопырь		нетопырь, нетопырёмъ	 
 	Нетреба		Нетреба	 
 	нетребовательный		нетребовательный	 
 	нетрезвый		нетрезвый, нетрезваго, не трезвѣе	 
 	нетопленый		нетопленый, не топленный	 
 	нетоплёный		нетоплёный	 
 	неторёный		неторёный	 
 	нетто		нетто	 
 	нету		нѣту, нѣтути, нѣтушки	 
 	нетути		нѣтути	 
 	нетушки		нѣтушки	 
 	неты		нѣты считать	 
 	нетяг		нетягъ, нетяглый	 
 	неуважение		неуваженіе	 
 	неуверенный		неувѣренный, неувѣреннаго	 
 	неугодный		неугодный, неугоднаго	 
 	неугомонные		неугомонные, неугомонныя	 
 	неугомонный		неугомонный, неугомоннаго	 
 	неудачен		неудаченъ	 
 	неудобный		неудобный, неудобнаго	 
 	неудовлетворённый		неудовлетворённый, неудовлетворённаго	 
 	неудовольствие		неудовольствіе	 
 	неуёмный		неуёмный, неуёмнаго	 
 	неуж		неужъ	 
 	неужели		неужели и неужли	 
 	неужто		неужто	 
 	неуклюжесть		неуклюжесть	 
 	неукоснительно		неукоснительно	 
 	неукреплённый		неукрѣплённый	 
 	неукрощённый		неукрощённый	 
 	неумелый		неумѣлый	 
 	неумён		неумёнъ	 
 	неумение		неумѣніе	 
 	неумеренность		неумѣренность	 
 	неуместный		неумѣстный	 
 	неумёха		неумѣха	 
 	неумолимее		неумолимѣе	 
 	неумолимого		неумолимаго	 
 	неумолимое		неумолимое	 
 	неумолимые		неумолимые, неумолимыя	 
 	неумолимый		неумолимый, неумолимаго	 
 	неумытный		неумытный	 
 	неумытый		неумытый	 
 	неурожай		неурожай	 
 	неурядица		неурядица	 
 	неуспешный		неуспѣшный	 
 	неустойка		неустойка	 
 	Неустроев		Неустроевъ	 
 	неутверждённый		неутверждённый	 
 	неутешный		неутѣшный	 
 	неутолённый		неутолённый	 
 	неуч		неучъ	 
 	неучёный		неучёный	 
 	неучтённый		неучтённый	 
 	неф		нефъ	 
 	Нефёд		Нефёдъ	 
 	нефрит		нефритъ	 
 	нефтепровод		нефтепроводъ	 
 	Нефтетис		Нефтетисъ	 
 	нефть		нефть	 
 	Нефф		Неффъ	 
 	Неффалим		Невфалимъ и Нефѳалимъ	 
 	нехай		нехай	 
 	Нехао		Нехао	 
 	не хватает		не хватаетъ, но нехватка	 
 	не хватать		не хватать, но нехватка	 
 	не хватит		не хватитъ, но нехватка	 
 	нехватка		нехватка, но не хватаетъ	 
 	нехорошее		нехорошее	 
 	нехотение		нехотѣніе, но не хотѣть	 
 	не хотеть		не хотѣть, но нехотя	 
 	нехотя		нехотя, но не хотѣть	 
 	не хочу		не хочу	 
 	нехристь		нехристь	 
 	неча		неча, неча на зеркало пенять, коли рожа крива	 
 	нечаянно		нечаянно	 
 	нечего		нечего, нечѣмъ, нечему	 
 	нечем		нечѣмъ, нечему, нечего	 
 	нечему		нечему, нечѣмъ, нечего	 
 	нечёсаный		нечёсаный	 
 	нечестие		нечестіе	 
 	нечестно		нечестно	 
 	нечестный		нечестный	 
 	нечестивый		нечестивый, но нечисть	 
 	нечет		нечетъ, чётъ и нечетъ	 
 	нечёткий		нечёткій,	 
 	нечётный		нечётный	 
 	нечёток		нечётокъ,	 
 	нечистоты		нечистоты	 
 	нечисть		нечисть, но нечестивый	 
 	нечистый		нечистый, нечистаго	 
 	нечитаемое		нечитаемое	 
 	нечитаемые		нечитаемые, нечитаемыя	 
 	нечитаемый		нечитаемый, нечитаемаго	 
 	нечто		нѣчто, но не что иное	 
 	не что иное		не что иное, но нѣчто	 
 	Нешава		Нешава	 
 	нешелушёный		нешелушёный	 
 	нешто		нѣшто	 
 	нещадно		нещадно, нещадное, нещаденъ	 
 	нещечко		нѣщечко	 
 	нею		нею	 
 	нея		нея — род. ед. ч. отъ неё, сохраняется въ стихахъ — жнея/нея	 
 	неявка		неявка	 
 	неясен		неясенъ	 
 	неясно		неясно, неясное	 
 	неясные		неясные, неясныя	 
 	неясный		неясный, неяснаго	 
 	неясыть		неясыть	 
 	Ниагара		Ніагара
 	Нибелунги		Нибелунги	 
 	ни бельмеса		ни бельмеса	 
 	нибудь		нибудь	 
 	нивелир		нивелиръ	 
 	нивелятор		нивеляторъ	 
 	нивесть		нивѣсть, невѣсть	 
 	ни в коем разе		ни въ коемъ разѣ, коій, коей, коего, коею	 
 	нигде		нигдѣ	 
 	Нигер		Нигеръ	 
 	нигилизм		нигилизмъ	 
 	ни гугу		ни-гугу	 
 	Нидерланды		Нидерланды	 
 	Ниеншанц		Ніеншанцъ	 
 	нижайший		нижайшій поклонъ	 
 	ниже		ниже	 
 	Нижегородская		Нижегородская	 
 	нижегородский		нижегородскій, нижегородскаго	 
 	нижегородского		нижегородскаго	 
 	нижеобъяснённый		нижеобъяснённый	 
 	нижеприведённый		нижеприведённый	 
 	нижеследующий		нижеслѣдующій	 
 	нижнего		нижняго	 
 	Нижнедевицк		Нижнедѣвицкъ	 
 	нижнее		нижнее, но нѣжнѣе	 
 	Нижнеколымск		Нижнеколымскъ	 
 	Нижнетагильский		Нижнетагильскій	 
 	Нижнеудинск		Нижнеудинскъ	 
 	Нижнечирская		Нижнечирская	 
 	нижние		нижніе, нижнія	 
 	нижний		нижній, нижняго	 
 	Нижний Новгород		Нижній-Новгородъ	 
 	Нижний Ломов		Нижній-Ломовъ	 
 	ни за что		ни за что	 
 	низведение		низведеніе	 
 	низведённый		низведённый	 
 	низвергнуть		низвергнуть	 
 	низвержение		низверженіе	 
 	низенький		низенькій	 
 	низёхонький		низёхонькій	 
 	низёшенький		низёшенькій	 
 	низкие		низкіе, низкія	 
 	низкий		низкій, низкаго	 
 	низкое		низкое	 
 	низложенный		низложенный	 
 	низменного		низменнаго	 
 	низменное		низменное	 
 	низменность		низменность	 
 	низменные		низменные, низменныя	 
 	низменный		низменный, низменнаго	 
 	низойдёт		низойдётъ	 
 	низошёл		низошёлъ	 
 	низринет		низринетъ, низринется, низринуть	 
 	низринется		низринется, низринуться	 
 	низринутый		низринутый, низринутаго	 
 	низшего		низшаго	 
 	низшее		низшее	 
 	низшие		низшіе, низшія	 
 	низший		низшій, низшаго	 
 	никак		никакъ	 
 	никак нет		никакъ нѣтъ	 
 	никакой		никакой, никакого	 
 	никель		никель, никкель	 
 	никем		никѣмъ	 
 	Никея		Никея	 
 	Никитична		Никитична	 
 	Никифор		Никифоръ	 
 	никогда		никогда	 
 	никого		никого	 
 	никоим		никоимъ образомъ	 
 	Николаев		Николаевъ	 
 	Николаевск		Николаевскъ	 
 	Николаевский		Николаевскій	 
 	Николай		Николай Николаевичъ Николаевъ, о Николаѣ Николаевичѣ Николаевѣ, Николаемъ Николаевичемъ Николаевымъ	 
 	Никольский		Никольскій	 
 	Никомед		Никомедъ	 
 	никому		никому	 
 	никто		никто	 
 	никуда		никуда	 
 	никчёмный		никчёмный, но ни къ чему	 
 	ни к чему		ни къ чему, но никчёмный	 
 	нимб		нимбъ	 
 	нимало		нимало, но немало, ткж. ни много ни мало	 
 	Нимвеген		Нимвегенъ	 
 	нимфа		нимфа	 
 	Нимфодора		Нимфодора	 
 	Ниневия		Ниневія	 
 	Ниоба		Ніоба	 
 	ниобий		ніобій	 
 	ни один		ни одинъ	 
 	Ниор		Ніоръ	 
 	Ниорд		Ніордъ	 
 	ниоткуда		ниоткуда, но неоткуда	 
 	ни о чём		ни о чёмъ, но не о чѣмъ	 
 	нипочём		всё ему нипочёмъ, но ни по чёмъ я не тоскую	 
 	ни по чём		ни по чёмъ я не тоскую, но всё ему нипочёмъ	 
 	ниппель		ниппель	 
 	ни при чём		ни при чёмъ	 
 	нисколько		нисколько	 
 	ниспадёт		ниспадётъ	 
 	ниспослан		ниспосланъ	 
 	ниспошлёт		ниспошлётъ	 
 	ниспровергнуть		ниспровергнуть	 
 	ниспровержение		ниспроверженіе	 
 	нисшедший		нисшедшій	 
 	нисшествие		нисшествіе	 
 	нитей		нитей	 
 	нить		нить, нити, нитей	 
 	нитяный		нитяный	 
 	Нифонт		Нифонтъ	 
 	Ницца		Ницца	 
 	Ницше		Ницше	 
 	ницшеанство		ницшеанство	 
 	ничего		ничего	 
 	ничей		ничей, ничьего	 
 	ничем		ничѣмъ	 
 	ничему		ничему	 
 	ничто		ничто	 
 	ничтоже		ничтоже сумняшеся, ничтоже сумняся	 
 	ничтожен		ничтоженъ	 
 	ничтожество		ничтожество, въ ничтожествѣ	 
 	ничтожнейший		ничтожнѣйшій	 
 	ничтожные		ничтожные, ничтожныя	 
 	ничтожный		ничтожный, ничтожнаго	 
 	ничуть		ничуть	 
 	ничьё		ничьё	 
 	ниша		ниша	 
 	нищего		нищаго	 
 	нищенка		нищенка, нищенкѣ	 
 	нищенство		нищенство	 
 	нищета		нищета, въ нищетѣ	 
 	нищие		нищіе	 
 	нищий		нищій, нищему	 
 	нобелевская		нобелевская премія, нобелевской преміей
 	нобелевские		нобелевскіе, нобелевскія	 
 	нобелевский		нобелевскій лауреатъ, нобелевскаго	 
 	Нобель		Нобель	 
 	Новгород		Новгородъ	 
 	Новгород-Северский		Новгородъ-Сѣверскій	 
 	новее		новѣе	 
 	новейшее		новѣйшее	 
 	новейшие		новѣйшіе, новѣйшія, новѣйшихъ	 
 	новейший		новѣйшій, новѣйшаго	 
 	новелла		новелла	 
 	новенькие		новенькіе, новенькія	 
 	новенький		новенькій, новенькаго	 
 	новенькое		новенькое	 
 	новёхонький		новёхонькій	 
 	новёшенький		новёшенькій	 
 	Новоалександровск		Новоалександровскъ	 
 	Новоархангельск		Новоархангельскъ	 
 	новобранец		новобранецъ	 
 	нововведение		нововведеніе	 
 	нововведённый		нововведённый	 
 	Новогебридские		Новогебридскіе	 
 	Новогеоргиевск		Новогеоргіевскъ	 
 	нового		новаго, празднованіе Новаго года	 
 	новогоднего		новогодняго	 
 	новогоднее		новогоднее	 
 	новогодние		новогодніе, новогоднія	 
 	новогодний		новогодній, новогодняго	 
 	Новодевичий		Новодѣвичій	 
 	новодел		новодѣлъ, о новодѣлѣ	 
 	новое		новое, новаго, новѣе	 
 	новозаведённый		новозаведённый	 
 	новоизобретённый		новоизобрѣтённый	 
 	новоиспечённый		новоиспечённый	 
 	новокрещённый		новокрещённый	 
 	новонаречённый		новонаречённый	 
 	новонаселённый		новонаселённый	 
 	новообращённый		новообращённый	 
 	новообретённый		новообрѣтённый	 
 	новооткрытый		новооткрытый	 
 	новоприобретённый		новопріобрѣтённый	 
 	новоприсоединённый		новоприсоединённый	 
 	новопроизведённый		новопроизведённый	 
 	Новоржев		Новоржевъ	 
 	новорождённый		новорождённый, новорождённаго	 
 	Новороссийск		Новороссійскъ, въ Новороссійскѣ	 
 	новосёл		новосёлъ	 
 	новостей		новостей	 
 	Новоузенск		Новоузенскъ	 
 	Новохопёрск		Новохопёрскъ	 
 	Новочеркасск		Новочеркасскъ	 
 	новоявленного		новоявленнаго	 
 	новоявленное		новоявленное	 
 	новоявленные		новоявленные, новоявленныя	 
 	новоявленный		новоявленный, новоявленнаго	 
 	новшество		новшество	 
 	новые		новые, новыя	 
 	Новый Год		Новый Годъ, празднованіе Новаго Года, съ Новымъ Годомъ!	 
 	Новый Завет		Новый Завѣтъ	 
 	ногтевой		ногтевой, ногтевого	 
 	Нодендаль		Нодендаль	 
 	Ноев		Ноевъ	 
 	нож		ножъ, ножей, ножомъ, на ножѣ, ножище, ножичекъ	 
 	ножевой		ножевой, ножевое, ножевого	 
 	ножевые		ножевые, ножевыя	 
 	ножища		ножища, ножище	 
 	ножище		ножище, ножища	 
 	ноздреватый		ноздреватый	 
 	ноздрёй		ноздрёй	 
 	нолей		нолей	 
 	нолём		нолёмъ	 
 	ноль		ноль и нуль — остричь подъ нуль, быть равнымъ нулю, на улицѣ на нулѣ, онъ на нулѣ, съ нуля начинать, свести къ нулю, довести до нуля, абсолютный нуль; ноль-ноль, ноль вниманія, ноль безъ палочки, абсолютный ноль	 
 	номенклатура		номенклатура	 
 	номер		номеръ и нумеръ, въ номерѣ	 
 	номерной		номерной	 
 	ноне		нонѣ	 
 	нонешний		нонѣшній	 
 	нониус		ноніусъ	 
 	нонпарель		нонпарель	 
 	нонсенс		нонсенсъ	 
 	нонче		нонче	 
 	Норвегия		Норвегія	 
 	норвежец		норвежецъ, о норвежцѣ, норвежцемъ, норвежцевъ	 
 	Нордгаузен		Нордгаузенъ	 
 	Норденшельд		Норденшельдъ	 
 	Нордерней		Нордерней	 
 	норма		норма, по нормѣ, въ нормѣ	 
 	нормалёк		нормалёкъ	 
 	нормализует		нормализуетъ, нормализуемъ, нормализуешь	 
 	нормальнее		нормальнѣе	 
 	нормальное		нормальное, нормальнаго	 
 	нормальные		нормальные, нормальныя	 
 	нормандец		нормандецъ, о нормандцѣ, нормандцемъ, нормандцевъ	 
 	Нормандия		Нормандія	 
 	нормандский		нормандскій	 
 	норманский		норманскій	 
 	норовить		норовить	 
 	Норрчёпинг		Норчепингъ	 
 	Нортумберленд		Нортумберлэндъ	 
 	носимого		носимаго	 
 	носимое		носимое, носимаго	 
 	носимые		носимые, носимыя	 
 	носитель		носитель, носителемъ	 
 	ностальгия		ностальгія	 
 	нотабене		нотабене	 
 	нотариальная		нотаріальная	 
 	нотариально		нотаріально	 
 	нотариальный		нотаріальный	 
 	нотариат		нотаріатъ	 
 	нотариус		нотаріусъ	 
 	нотация		нотація	 
 	Нотнагель		Нотнагель	 
 	ночевать		ночевать	 
 	ночёвка		ночёвка	 
 	ночей		ночей	 
 	ноченька		ноченька	 
 	ночлег		ночлегъ	 
 	ночлежный		ночлежный	 
 	ночное		ночное	 
 	ночные		ночные, ночныя	 
 	ношенный		ношенный	 
 	нощей		нощей — уcтap.	 
 	ноябрём		ноябрёмъ	 
 	ноябрь		ноябрь, въ ноябрѣ, ноябрьскій, одиннадцатаго ноября	 
 	ноябрьский		ноябрьскій	 
 	нрав		нравъ, при его крутомъ нравѣ, это ему не по нраву
 	нравитесь		нравитесь	 
 	нравоучительное		нравоучительное	 
 	нравоучительный		нравоучительный	 
 	нравственного		нравственнаго	 
 	нравственное		нравственное	 
 	нравственность		нравственность	 
 	нравственные		нравственные, нравственныя	 
 	нравственный		нравственный, нравственнаго	 
 	Нубия		Нубія
 	нудится		нудится	 
 	нудить		нудить, нудить	 
 	нудиться		нудиться, нудитися	 
 	нуднейший		нуднѣйшій, нуднѣйшаго, нуднѣйшее	 
 	нужда		нужда, въ нуждѣ	 
 	нужен		нуженъ	 
 	нужнее		нужнѣе	 
 	нужнейший		нужнѣйшій	 
 	нужник		нужникъ, въ нужникѣ	 
 	нужное		нужное	 
 	нужные		нужные, нужныя	 
 	нукер		нукеръ	 
 	нулевой		нулевой	 
 	нулей		нулей	 
 	нулём		нулёмъ	 
 	нуль		нуль, нулей, на нулѣ и ноль	 
 	Нуманция		Нуманція	 
 	нумерация		нумерація	 
 	Нумидия		Нумидія	 
 	нумизматика		нумизматика	 
 	нутация		нутація	 
 	нуте		нуте, нуте-съ, нуте-ка	 
 	нутро		нутро, въ нутрѣ	 
 	ныне		нынѣ
 	нынешнего		нынѣшняго	 
 	нынешнее		нынѣшнее	 
 	нынешней		нынѣшней	 
 	нынешние		нынѣшніе, нынѣшнія	 
 	нынешний		нынѣшній, нынѣшняго, нынѣшнимъ, въ нынѣшнемъ, по-нынѣшнему	 
 	нынче		нынче	 
 	нырнёшь		нырнёшь, нырнёмъ, нырнётъ, нырнёте	 
 	ныряет		ныряетъ, ныряете, ныряемъ, ныряешь	 
 	нытьё		нытьё, нытьёмъ	 
 	Нью-Йорк		Нью-Іоркъ
 	Ньюфаундленд		Ньюфаундлендъ	 
 	Ньяса		Ніасса	 
 	нюанс		нюансъ, не ньюансъ!
 	Нюрнберг		Нюрнбергъ	 
 	нюхнёшь		нюхнёшь	 
	нянечка		нянечка, о нянечкѣ
 	нянчиться		нянчиться	 
 	нянька		нянька, о нянькѣ, нянекъ	 
 	нянюшка		нянюшка, нянюшекъ	 
 	няня		няня, о нянѣ, няней
	оа 	оазис		оазисъ, въ оазисѣ
 	Оаннес		Оаннесъ	 
 	об		объ, обо
 	оба		оба не обои!, обоихъ, обоимъ, обоими, объ обоихъ	 
 	обабление		обабленіе, обабленье, обабиться	 
 	обагрён		обагрёнъ	 
 	обагрение		обагреніе	 
 	обагрённый		обагрённый	 
 	обалдеет		обалдѣетъ, обалдѣемъ, обалдѣешь, обалдѣютъ, обалдѣли, обалдѣлъ, обалдѣла, обалдѣло	 
 	обалделый		обалдѣлый, обалдѣлаго	 
 	обалдеть		обалдѣть, обалдѣвать	 
 	обаяние		обаяніе	 
 	обаятелен		обаятеленъ	 
 	обаятельный		обаятельный	 
 	оббегать		оббѣгать	 
 	оббежать		оббѣжать	 
 	обваленный		обваленный	 
 	обваренный		обваренный	 
 	обведём		обведёмъ	 
 	обведение		обведеніе	 
 	обведённый		обведённый	 
 	обведёшь		обведёшь	 
 	обвезённый		обвезённый	 
 	обвёзший		обвёзшій	 
 	обвёл		обвёлъ	 
 	обвенчаться		обвѣнчаться	 
 	обвернёшь		обвернёшь	 
 	обвернуть		обвернуть	 
 	обвёрнутый		обвёрнутый	 
 	обвертеть		обвертѣть	 
 	обвес		обвѣсъ	 
 	обвесить		обвѣсить	 
 	обвеситься		обвѣситься	 
 	обвести		обвести	 
 	обветренный		обвѣтренный	 
 	обветшалый		обветшалый	 
 	обвешанный		обвѣшанный	 
 	обвешать		обвѣшать	 
 	обвешаться		обвѣшаться	 
 	обвешенный		обвѣшенный	 
 	обвешённый		обвѣшённый	 
 	обвешивать		обвѣшивать	 
 	обвешиваться		обвѣшиваться	 
 	обвешить		обвѣшить	 
 	обвеянный		обвѣянный	 
 	обвинение		обвиненіе	 
 	обвинённый		обвинённый, обвинённаго	 
 	обвиняемый		обвиняемый, обвиняемаго	 
 	обвиняет		обвиняетъ, обвиняется	 
 	обводнение		обводненіе	 
 	обводнённый		обводнённый	 
 	обворожение		обвороженіе	 
 	обворожённый		обворожённый	 
 	обгаженный		обгаженный	 
 	обглядел		обглядѣлъ	 
 	обгляделся		обглядѣлся	 
 	обглядеть		обглядѣть	 
 	обглядеться		обглядѣться	 
 	обговорённый		обговорённый	 
 	обгорать		обгорать	 
 	обгоревший		обгорѣвшій	 
 	обгорелый		обгорѣлый	 
 	обгрызёшь		обгрызёшь	 
 	обдаёшься		обдаёшься	 
 	обделанный		обдѣланный	 
 	обделённый		обдѣлённый	 
 	обделаться		обдѣлаться	 
 	обделка		обдѣлка	 
 	обдёрганный		обдёрганный	 
 	обдерёт		обдерётъ	 
 	обдерут		обдерутъ	 
 	обдернённый		обдернённый	 
 	обдёрнутый		обдёрнутый	 
 	обдурённый		обдурённый	 
 	обе		обѣ не обѣи!, обѣихъ, обѣимъ, обѣими, объ обѣихъ	 
 	обегать		обѣгать	 
 	обед		обѣдъ, на обѣдѣ	 
 	обедает		обѣдаетъ, обѣдаемъ, обѣдаешь, обѣдаютъ	 
 	обедать		обѣдать	 
 	обеднеть		обѣднѣть, но обѣднить	 
 	обедневший		обѣднѣвшій	 
 	обеднённый		обѣднённый	 
 	обеднить		обѣднить, но обѣднѣть	 
 	обедня		обѣдня, къ обѣднѣ	 
 	обежать		обѣжать	 
 	обезглавить		обезглавить	 
 	обездвижен		обездвиженъ	 
 	обездоленный		обездоленный	 
 	обеззараживание		обеззараживаніе	 
 	обезличенный		обезличенный	 
 	обезлюдеть		обезлюдѣть, обезлюдѣетъ	 
 	обезнадёжить		обезнадёжить	 
 	обезображенный		обезображенный	 
 	обезопасить		обезопасить	 
 	обезоруженный		обезоруженный	 
 	обезумевшего		обезумѣвшаго	 
 	обезумевшее		обезумѣвшее	 
 	обезумевши		обезумѣвши	 
 	обезумевшие		обезумѣвшіе, обезумѣвшія	 
 	обезумевший		обезумѣвшій, обезумѣвшаго	 
 	обезумеет		обезумѣетъ	 
 	обезумеешь		обезумѣешь	 
 	обезумел		обезумѣлъ, обезумѣла, обезумѣли	 
 	обезуметь		обезумѣть, обезумѣетъ	 
 	обезумею		обезумѣю	 
 	обезьяна		обезьяна	 
 	обеим		обѣимъ	 
 	обеими		обѣими	 
 	обеих		обѣихъ	 
 	обеление		обѣленіе	 
 	обелённый		обѣлённый	 
 	обелиск		обелискъ	 
 	обелить		обѣлить	 
 	оберег		оберегъ и оберегъ	 
 	оберегать		оберегать	 
 	оберёгшийся		оберёгшійся	 
 	обережённый		обережённый	 
 	оберечь		оберечь	 
 	оберёшься		оберёшься	 
 	обернётесь		обернётесь	 
 	обернуться		обернуться, обернётся	 
 	Оберон		Оберонъ	 
 	обёртка		обёртка	 
 	обертон		обертонъ	 
 	обёрточный		обёрточный	 
 	оберукий		обѣрукій	 
 	оберучить		обѣручить	 
 	обер-церемониймейстер		оберъ-церемоніймейстеръ	 
 	обескровленный		обезкровленный	 
 	обескуражить		обезкуражить	 
 	обеспамятеть		обезпамятѣть	 
 	обеспечение		обезпеченіе	 
 	обеспечить		обезпечить, обезпеченный	 
 	обесплодить		обезплодить	 
 	обеспокоить		обезпокоить	 
 	обессилеть		обезсилѣть	 
 	обессилить		обезсилить	 
 	обесславить		обезславить	 
 	обессмертить		обезсмертить	 
 	обессудить		обезсудить	 
 	обессудь		не обезсудь	 
 	обессудьте		не обезсудьте	 
 	обессуживание		обезсуживаніе	 
 	обесцветить		обезцвѣтить	 
 	обесцениться		обезцѣниться	 
 	обесчестить		обезчестить	 
 	обет		обѣтъ	 
 	обетование		обѣтованіе	 
 	обетованная		обѣтованная	 
 	обетованный		обѣтованный	 
 	обетонировать		обетонировать	 
 	обечайка		обечайка	 
 	обещает		обѣщаетъ, обѣщаемъ, обѣщаешь, обѣщаютъ	 
 	обещаете		обѣщаете	 
 	обещал		обѣщалъ, обѣщала, обѣщали	 
 	обещан		обѣщанъ, обѣщана, обѣщаны, обѣщано	 
 	обещание		обѣщаніе, обѣщаніемъ	 
 	обещания		обѣщанія, обѣщаніями	 
 	обещанного		обѣщаннаго	 
 	обещанное		обѣщанное	 
 	обещанные		обѣщанные, обѣщанныя	 
 	обещанный		обѣщанный, обѣщаннаго	 
 	обещать		обѣщать	 
 	обещаться		обѣщаться	 
 	обжёванный		обжёванный	 
 	обжёгший		обжёгшій	 
 	обжёгшись		обжёгшись	 
 	обжечь		обжечь	 
 	обжечься		обжечься	 
 	обживётся		обживётся	 
 	обжора		обжора	 
 	обзаведение		обзаведеніе	 
 	обзаведёшься		обзаведёшься	 
 	обзовёшь		обзовёшь	 
 	обида		обида, въ обидѣ	 
 	обидел		обидѣлъ, обидѣли, обидѣла, но обиденъ, обиженъ	 
 	обиден		обиденъ, обиженъ но обидѣть	 
 	обидеть		обидѣть но обидитъ, обидно, но обиденъ, обиженъ	 
 	обидеться		обидѣться но обидится	 
 	обидит		обидитъ но обидѣть	 
 	обидится		обидится но обидѣться	 
 	обижает		обижаетъ, обижаемъ, обижаешь	 
 	обижается		обижается, обижаемся, обижаешься	 
 	обижен		обиженъ, обиженный, обиденъ но обидѣть	 
 	обижены		обижены, обиженныхъ	 
 	обиженные		обиженные, обиженныя	 
 	обиженный		обиженный, обиженнаго	 
 	обилие		обиліе	 
 	обирать		обирать	 
 	обитаемое		обитаемое	 
 	обитаемые		обитаемые, обитаемыя	 
 	обитаемый		обитаемый, обитаемаго	 
 	обитает		обитаетъ	 
 	обитание		обитаніе	 
 	обитания		обитанія	 
 	обитатель		обитатель	 
 	обитель		обитель	 
 	обиходный		обиходный	 
 	обкладенный		обкладенный	 
 	обклёванный		обклёванный	 
 	обклеенный		обклеенный	 
 	обклеить		обклеить	 
 	обклюёт		обклюётъ	 
 	обкраденный		обкраденный, обокраденный	 
 	обкрадёшь		обкрадёшь	 
 	облагаемый		облагаемый	 
 	облагодетельствовать		облагодѣтельствовать	 
 	облагороженный		облагороженный	 
 	обладает		обладаетъ	 
 	обладатель		обладатель, обладательница	 
 	облако		облако, на облакѣ	 
 	областные		областные, областныя	 
 	область		область, областного, областное, областей	 
 	облачается		облачается	 
 	облачение		облаченіе, облачиться	 
 	облачённый		облачённый	 
 	облачное		облачное	 
 	облёванный		облёванный	 
 	облёг		облёгъ	 
 	облегание		облеганіе	 
 	облегать		облегать, но облигація, но аблегація	 
 	облегчение		облегченіе	 
 	облегчённый		облегчённый	 
 	облёгший		облёгшій	 
 	обледенелый		обледенѣлый	 
 	обледенение		обледенѣніе	 
 	облежаться		облежаться	 
 	облёживать		облёживать	 
 	облезать		облѣзать	 
 	облезлый		облѣзлый	 
 	облезть		облѣзть	 
 	облёк		облёкъ	 
 	облекать		облекать	 
 	облёкший		облёкшій	 
 	облениться		облѣниться	 
 	облесённый		облѣсённый	 
 	облётанный		облётанный	 
 	облетать		облетать	 
 	облететь		облетѣть	 
 	облечённый		облечённый	 
 	облечёшься		облечёшься	 
 	облечь		облечь, облягу, обляжетъ, облягутъ, облёгъ, облегла, облягъ	 
 	облечь		облечь, облеку, облечётъ, облекутъ, облёкъ, облекла, облеки	 
 	облечься		облечься, облекусь, облечётся, облекутся, облёкся, облеклась, облекись	 
 	облепить		облѣпить	 
 	облепиха		облѣпиха	 
 	облигация		облигація, но аблегація, но облегать	 
 	облизнёшься		облизнёшься	 
 	облицевать		облицевать	 
 	обличает		обличаетъ, обличаете, обличаемъ, обличаешь, обличаютъ	 
 	обличающий		обличающій	 
 	обличение		обличеніе	 
 	обличённый		обличённый	 
 	обличье		обличье не обличіе!, обличій, обличьемъ, обличья, въ обличьѣ волка	 
 	обложение		обложеніе	 
 	обложением		обложеніемъ	 
 	обложенного		обложеннаго	 
 	обложенное		обложенное	 
 	обложенные		обложенные, обложенныя	 
 	обложенный		обложенный, обложеннаго	 
 	обложечный		обложечный	 
 	обложить		обложить	 
 	обложиться		обложиться	 
 	облокачиваться		облокачиваться	 
 	облокотиться		облокотиться	 
 	облупленный		облупленный	 
 	облучённый		облучённый	 
 	облущённый		облущённый	 
 	облысение		облысѣніе	 
 	облюём		облюёмъ	 
 	обмакнёшь		обмакнёшь	 
 	обмакнуть		обмакнуть	 
 	обмалёвывать		обмалёвывать	 
 	обман		обманъ, при обманѣ	 
 	обманет		обманетъ, обманемъ, обманешь	 
 	обманщик		обманщикъ	 
 	обмасленный		обмасленный	 
 	обмахнёшься		обмахнёшься	 
 	обмежёванный		обмежёванный	 
 	обмеление		обмелѣніе	 
 	обмельчать		обмельчать	 
 	обмен		обмѣнъ, при обмѣнѣ	 
 	обменённый		обмѣнённый	 
 	обменивать		обмѣнивать, обмѣниваться	 
 	обменить		обмѣнить, обмѣниться	 
 	обменного		обмѣннаго	 
 	обменное		обмѣнное	 
